代码,名称
111,居民身份证
112,临时居民身份证
113,户口簿
114,中国人民解放军军官证
115,中国人民武装警察部队警官证
116,暂住证
117,出生医学证明
121,法官证
123,警官证
125,检察官证
127,律师证
129,记者证
131,工作证
133,学生证
151,出入证
153,临时出入证
155,住宿证
157,医疗证
159,老保证
161,献血证
163,保险单
191,会员证
211,离休证
213,退休证
215,老年证
217,残疾证
219,结婚证
221,离婚证
223,独生子女证
225,毕业证书
227,肄业证
229,结业证
231,学位证
233,军人通行证
291,证明信
311,持枪证
313,枪证
315,枪支（弹药）携运许可证
317,砍伐证
319,准运证
321,准购证
323,粮油证
325,购煤证
327,购煤气证
329,房屋产权证
331,土地使用证
333,车辆通行证
335,机动车驾驶证
337,机动车行驶证
339,机动车登记证书
341,机动车年检合格证
343,春运临时检验合格证
345,飞机驾驶证
347,船舶驾驶证
349,船舶行驶证
351,自行车行驶证
353,汽车号牌
355,拖拉机牌
357,摩托车牌
359,船舶牌
361,三轮车牌
363,自行车牌
391,残疾人机动轮椅车
411,外交护照
412,公务护照
413,因公普通护照
414,普通护照
415,旅行证
416,人处境通行证
417,外国人出入境证
418,外国人旅行证
419,海员证
420,香港特别行政区护照
421,澳门特别行政区护照
423,澳门特别行政区旅行证
511,台湾居民来往大陆通行证
512,台湾居民来往大陆通行证（一次有效）
513,往来港澳通行证
515,前往港澳通行证
516,港澳同胞回乡证（通行证）
517,大陆居民往来台湾通行证
518,因公往来香港澳门特别行政区通行证
551,华侨回国定居证
552,台湾居民定居证
553,外国人永久居留证
554,外国人居留证
555,外国人临时居留证
556,人籍证书
557,除籍证书
558,复籍证书
611,外籍船员住宿证
612,随船工作证
620,海上执勤证（红色）
621,海上执勤证（蓝色）
631,出海船民证
633,出海船舶户口薄
634,出海船舶边防登记薄
635,搭靠台轮许可证
636,台湾居民登陆证
637,台湾船员登陆证
638,外国船员登陆证
639,对台劳务人员登轮作业证
640,合资船船员登陆证
641,合资船船员登轮作业证
642,粤港澳流动渔民证
643,粤港澳临时流动渔民证
644,粤港澳流动渔船户口薄
645,航行港澳船舶证明书
646,往来港澳小型船舶查验薄
650,劳务人员登轮作业证
711,边境管理区通行证
721,中朝鸭绿江、图们江水文作业证
722,朝中鸭绿江、图们江水文作业证
723,中朝流筏固定代表证
724,朝中流筏固定代表证
725,中朝鸭绿江、图们江船员证
726,朝中鸭绿江、图们江船员证
727,中朝边境地区公安总代表证
728,朝中边境地区公安总代表证
729,中朝边境地区公安副总代表证
730,朝中边境地区公安副总代表证
731,中朝边境地区公安代表证
732,朝中边境地区公安代表证
733,中朝边境地区出入境通行证（甲、乙种本）
734,朝中边境公务通行证
735,朝中边境住民国境通行证
736,中蒙边境地区出入境通行证（甲、乙种本）
737,蒙中边境地区出入境通行证
738,中缅边境地区出入境通行证
739,缅甸中国边境通行证
740,云南省边境地区境外边民人出境证
741,中尼边境地区出入境通行证
742,尼中边境地区出入境通行证
743,中越边境地区出入境通行证
744,越中边境地区出入境通行证
745,中老边境地区出入境通行证
746,老中边境地区出入境通行证
747,中印边境地区出入境通行证
748,印中边境地区出入境通行证
761,深圳市过境耕作证
765,贸易证
771,铁路园工证
781,机组人员证
990,其它